LISTA MAESTRA THAIPLAST,,,,,,,,,
,,,,,,,,,
Productos • Calidad • Precios Bajos • Atención Cercana,,,,,,,,,
,,,,,,,,,
SKU,Categoría,Producto,Medida/Capacidad,Presentación,Color,Material,Uso Recomendado,Precio,Stock
TP-PRE-003,Prepicados,Bolsa Prepicada,35x50,Pack estándar,Transparente,Plástico,Alimentos / Mayorista,$3.200,
TP-PRE-004,Prepicados,Bolsa Prepicada,60x90,Pack estándar,Transparente,Plástico,Productos grandes,$3.200,
TP-BAS-001,Bolsas Basura,Bolsa Basura,50x70,Pack x10,Negro,Plástico,Basura doméstica,$500,
TP-BAS-002,Bolsas Basura,Bolsa Basura,70x90,Pack x10,Negro,Plástico,Basura comercial,$1.250,
TP-BAS-003,Bolsas Basura,Bolsa Basura,80x110,Pack x10,Negro,Plástico,Basura industrial,$2.600,
TP-BAS-004,Bolsas Basura,Bolsa Basura,90x120,Pack x10,Negro,Plástico,Basura industrial pesada,$4.350,
TP-ROL-001,Rollos,Rollo Plástico,20x30,Pack x50,Transparente,Plástico,Alimentos / Verduras,$2.000,
TP-ROL-002,Rollos,Rollo Plástico,30x40,Pack x50,Transparente,Plástico,Minimarket / Alimentos,$3.500,
TP-ROL-003,Rollos,Rollo Plástico,40x50,Pack x50,Transparente,Plástico,Uso comercial,$5.000,
TP-BOW-001,Bowls Kraft,Bowl Kraft c/tapa,750 cc,Pack x1,Kraft,Cartón Kraft,Comida / Delivery,$1.650,
TP-BOW-002,Bowls Kraft,Bowl Kraft c/tapa,1000 cc,Pack x1,Kraft,Cartón Kraft,Comida / Delivery,$1.850,
TP-BOW-003,Bowls Kraft,Bowl Kraft,500 cc,Pack x10,Kraft,Cartón Kraft,Salsas / Comida,$1.500,
TP-BOW-004,Bowls Kraft,Bowl Kraft c/tapa,1300 cc,Pack x1,Kraft,Cartón Kraft,Comida familiar,$1.900,
TP-TER-001,Termoformados,Termoformado 144,Modelo 144,Pack x10,Transparente,PET,Repostería / Delivery,$1.900,
TP-TER-002,Termoformados,Termoformado 233 S,Modelo 233 S,Pack x10,Transparente,PET,Alimentos,$1.200,
TP-TER-003,Termoformados,Termoformado 243-2 Roll,Modelo 243-2,Pack x1,Transparente,PET,Roll / Sushi,$1.350,
TP-TER-004,Termoformados,Termoformado 244,Modelo 244,Pack x10,Transparente,PET,Alimentos,$1.400,
TP-TER-005,Termoformados,Termoformado 244AA,Modelo 244AA,Pack x10,Transparente,PET,Delivery,$1.700,
TP-TER-006,Termoformados,Termoformado 247-3 Roll SUS,Modelo 247-3,Pack x1,Transparente,PET,Sushi / Roll,$1.900,
TP-TER-007,Termoformados,Termoformado 401A,Modelo 401A,Pack x10,Transparente,PET,Pastelería,$2.190,
TP-TER-008,Termoformados,Termoformado 401AA,Modelo 401AA,Pack x10,Transparente,PET,Pastelería,$2.190,
TP-TER-009,Termoformados,Termoformado 7190,Modelo 7190,Pack x10,Transparente,PET,Postres,$1.200,
TP-TRI-001,Triangulares,Triangular Termoformado,5x11,Pack x1,Transparente,PET,Sandwich / Repostería,$2.800,
TP-TER-010,Termoformados,Termoformado 7189,Modelo 7189,Pack x25,Transparente,PET,Postres,$2.600,
TP-TER-011,Termoformados,Termoformado 244A,Modelo 244A,Pack x10,Transparente,PET,Delivery,$1.700,
TP-TER-012,Termoformados,Termoformado 242,Modelo 242,Pack x20,Transparente,PET,Alimentos,$2.100,
TP-TER-013,Termoformados,Termoformado 607A,Modelo 607A,Pack x20,Transparente,PET,Alimentos,$2.400,
TP-TRI-002,Triangulares,Triangular Termoformado,7x11,Pack x25,Transparente,PET,Sandwich / Repostería,$2.900,
TP-TRI-003,Triangulares,Triangular Termoformado,8x11,Pack x25,Transparente,PET,Sandwich / Repostería,$3.000,
TP-CUB-001,Cubos,Cubo,2.5x20,Pack estándar,Transparente,Plástico,Uso general,$1.000,
TP-CUB-002,Cubos,Cubo,4x25,Pack estándar,Transparente,Plástico,Uso general,$850,
TP-CUB-003,Cubos,Cubo,5x25,Pack estándar,Transparente,Plástico,Uso general,$900,
TP-CUB-004,Cubos,Cubo,5x30,Pack estándar,Transparente,Plástico,Uso general,$1.250,
TP-CUB-005,Cubos,Cubo,6x20x0.002m,Pack estándar,Transparente,Plástico,Uso comercial,$990,
TP-CUB-006,Cubos,Cubo,4x20,Pack estándar,Transparente,Plástico,Uso general,$600,
TP-POL-001,Polietileno,Polietileno,8x25,Pack x100,Transparente,Plástico,Empaque,$990,
TP-TAC-001,Bolsa Taco,Bolsa Taco,20x30,Pack estándar,Transparente,Plástico,Alimentos,$500,
TP-TAC-002,Bolsa Taco,Bolsa Taco,30x40,Pack x100,Transparente,Plástico,Alimentos,$1.300,
TP-ZIP-001,Zipper,Bolsa Zipper,4x6,Pack x100,Transparente,Plástico,Accesorios / Alimentos,$1.200,
TP-ZIP-002,Zipper,Bolsa Zipper,5.5x6,Pack x100,Transparente,Plástico,Accesorios / Alimentos,$1.700,
TP-ZIP-003,Zipper,Bolsa Zipper,6x10,Pack x100,Transparente,Plástico,Almacenamiento,$2.250,
TP-ZIP-004,Zipper,Bolsa Zipper,8x10,Pack x100,Transparente,Plástico,Almacenamiento,$2.600,
TP-ZIP-005,Zipper,Bolsa Zipper,15x16,Pack x100,Transparente,Plástico,Uso comercial,$2.990,
TP-ZIP-006,Zipper,Bolsa Zipper,20x25,Pack x10,Transparente,Plástico,Uso doméstico,$550,
TP-ZIP-007,Zipper,Bolsa Zipper,27x28,Pack x10,Transparente,Plástico,Uso doméstico,$800,
TP-ZIP-008,Zipper,Bolsa Zipper,35x40,Pack x10,Transparente,Plástico,Uso comercial,$1.590,
TP-ZIP-009,Zipper,Bolsa Zipper,3x3,Pack x100,Transparente,Plástico,Accesorios pequeños,$1.100,
TP-ZIP-010,Zipper,Bolsa Zipper,18x20,Pack x100,Transparente,Plástico,Almacenamiento,$3.700,
TP-CUP-001,Cupulas,Cúpula 10 Personas Base,19.8,Pack x1,Transparente,PET,Pastelería,$410,
TP-CUP-002,Cupulas,Cúpula Tartaleta,15 Personas,Pack x1,Transparente,PET,Pastelería,$450,
TP-CUP-003,Cupulas,Cúpula Torta,15 Personas A1,Pack x1,Transparente,PET,Pastelería,$470,
TP-CUP-004,Cupulas,Cúpula Torta,20 26x12,Pack x1,Transparente,PET,Pastelería,$500,
TP-CUP-005,Cupulas,Cúpula Tartaleta,20 26x7,Pack x1,Transparente,PET,Pastelería,$500,
TP-CUP-006,Cupulas,Cúpula Torta,30 Personas 38,Pack x1,Transparente,PET,Pastelería,$990,
TP-CUP-007,Cupulas,Cúpula Torta,603AA,Pack x1,Transparente,PET,Pastelería,$500,
TP-CUP-008,Cupulas,Cúpula Brazo Reina Base,Negra,Pack x1,Negro,PET,Pastelería,$400,
TP-SAC-001,Sachets,Sachet Sal,x100 aprox,Pack x100,Blanco,Condimento,Delivery / Restaurantes,$990,
TP-SAC-002,Sachets,Sachet Aceite,10 cc,Pack x20,Transparente,Líquido,Delivery / Restaurantes,$1.180,
TP-SAC-003,Sachets,Sachet Azúcar,6.25 gr,Pack x500,Blanco,Azúcar,Cafetería,$990,
TP-SAC-004,Sachets,Sachet Sucralosa,Estándar,Pack x100,Blanco,Endulzante,Cafetería,$2.100,
TP-SAC-005,Sachets,Sachet de Ají,Estándar,Pack x20,Rojo,Condimento,Delivery,$800,
TP-SAC-006,Sachets,Sachet Jugo Limón,Estándar,Pack x20,Amarillo,Condimento,Delivery,$990,
TP-SAC-007,Sachets,Sachet Mayonesa,Estándar,Pack x20,Blanco,Condimento,Delivery,$1.100,
TP-SAC-008,Sachets,Sachet Mostaza,Estándar,Pack x20,Amarillo,Condimento,Delivery,$830,
TP-MOL-001,Moldes,Molde Pan de Pascua,Estándar,Pack x10,Kraft,Cartón,Panadería,$990,
TP-MOL-002,Moldes,Molde Inglés,600 gr.,Pack x10,Kraft,Cartón,Panadería,$1.990,
TP-MOL-003,Moldes,Molde Tulipa,Estándar,Pack x20,Kraft,Papel,Repostería,$980,
TP-MOL-004,Moldes,Molde Pan de Pascua,Alternativo,Pack x10,Kraft,Cartón,Panadería,$900,
TP-GUA-001,Guantes,Guante Polietileno,Estándar,Pack x50 pares,Transparente,Polietileno,Manipulación alimentos,$990,
TP-GOR-001,Gorros,Gorro Clip,Estándar,Pack x100,Blanco,Tela,Manipulación alimentos,$3.500,
TP-GOR-002,Gorros,Gorro Redecilla Negro,Estándar,Pack x100,Negro,Tela,Manipulación alimentos,$5.990,
TP-GUA-002,Guantes,Caja Látex,S-M-L,Pack x50 pares,Blanco,Látex,Manipulación alimentos,$4.000,
TP-GUA-003,Guantes,Caja Guante Vinilo,S-M-L,Pack x50,Transparente,Vinilo,Manipulación alimentos,$3.000,
TP-PEC-001,Pecheras,Pecheras Desechables,Estándar,Pack x100,Blanco,Plástico,Manipulación alimentos,$5.000,
TP-MAN-001,Mascarillas,Mascarillas Blancas,Estándar,Pack x100,Blanco,Tela,Protección,$3.000,
TP-GUA-004,Guantes,Guante Nitrilo,Estándar,Pack x50 pares,Negro,Nitrilo,Protección,$4.500,
TP-MAS-001,Mascarillas,Mascarilla,Estándar,Pack x50,Blanco,Tela,Protección,$1.500,
TP-COB-001,Cubre Zapatos,Cubre Zapatos,Estándar,Pack x10,Azul,Plástico,Protección,$500,
TP-POL-002,Polipropileno,Bolsa Polipropileno,7x15x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$540,
TP-POL-003,Polipropileno,Bolsa Polipropileno,8x15x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$600,
TP-POL-004,Polipropileno,Bolsa Polipropileno,8x20x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$750,
TP-POL-005,Polipropileno,Bolsa Polipropileno,10x15x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$750,
TP-POL-006,Polipropileno,Bolsa Polipropileno,10x20x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$1.090,
TP-POL-007,Polipropileno,Bolsa Polipropileno,12.5x15x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$890,
TP-POL-008,Polipropileno,Bolsa Polipropileno,12x20x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$1.180,
TP-POL-009,Polipropileno,Bolsa Polipropileno,12x25x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$1.450,
TP-POL-010,Polipropileno,Bolsa Polipropileno,15x20x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$1.350,
TP-POL-011,Polipropileno,Bolsa Polipropileno,15x25x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$1.650,
TP-POL-012,Polipropileno,Bolsa Polipropileno,15x30x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$1.990,
TP-POL-013,Polipropileno,Bolsa Polipropileno,20x25x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$2.150,
TP-POL-014,Polipropileno,Bolsa Polipropileno,20x30x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$2.350,
TP-POL-015,Polipropileno,Bolsa Polipropileno,20x35x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$2.990,
TP-POL-016,Polipropileno,Bolsa Polipropileno,20x40x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$3.500,
TP-POL-017,Polipropileno,Bolsa Polipropileno,25x35x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$3.990,
TP-POL-018,Polipropileno,Bolsa Polipropileno,25x40x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$4.100,
TP-POL-019,Polipropileno,Bolsa Polipropileno,30x40x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$4.700,
TP-POL-020,Polipropileno,Bolsa Polipropileno,30x45x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$5.900,
TP-POL-021,Polipropileno,Bolsa Polipropileno,35x45x0.0035,Pack estándar,Transparente,Polipropileno,Empaque,$6.700,
TP-POL-022,Polipropileno,Bolsa Polipropileno,8x20,Pack estándar,Transparente,Polipropileno,Empaque,$990,
TP-POL-023,Polipropileno,Bolsa Polipropileno,10x25,Pack x100,Transparente,Polipropileno,Empaque,$1.350,
TP-POL-024,Polipropileno,Bolsa Polipropileno,15x35,Pack x100,Transparente,Polipropileno,Empaque,$2.400,
TP-BAN-005,Bandejas,Bandeja Canasto,0-15,Pack x100,Kraft,Cartón,Comida rápida,$3.200,
TP-CAN-001,Canastos,Canasto Del 0,Estándar,Pack x100,Kraft,Cartón,Delivery / Papas,$3.850,
TP-CAN-002,Canastos,Canasto N°1,Estándar,Pack x100,Kraft,Cartón,Delivery / Papas,$4.700,
TP-CAN-003,Canastos,Canasto N°3,Estándar,Pack x25,Kraft,Cartón,Delivery / Papas,$3.100,
TP-BAN-006,Bandejas,Bandeja de Cartón,1 kilo,Pack estándar,Kraft,Cartón,Alimentos,$3.200,
TP-PLA-001,Platos,Plato Cartón N°1,Estándar,Pack x100,Kraft,Cartón,Fiestas / Comida,$2.500,
TP-PLA-002,Platos,Plato Cartón N°2,Estándar,Pack x100,Kraft,Cartón,Fiestas / Comida,$2.750,
TP-PLA-003,Platos,Plato Cartón N°3,Estándar,Pack x100,Kraft,Cartón,Fiestas / Comida,$3.100,
TP-PLA-004,Platos,Plato Plástico,17 cm,Media,Plástico,Plástico,Fiestas,$1.600,
TP-PLA-005,Platos,Plato Plástico,22 cm,Pack x20,Plástico,Plástico,Fiestas,$1.500,
TP-PLA-006,Platos,Plato Plástico,26 cm,Pack x25,Plástico,Plástico,Fiestas,$4.200,
TP-PLA-007,Platos,Plato Plástico 3 Divisiones,26 cm,Pack estándar,Plástico,Plástico,Comida completa,$4.200,
TP-PLA-008,Platos,Plato Cristal,18 cm,Pack x6,Transparente,Plástico,Fiestas,$1.600,
TP-PLA-009,Platos,Plato Cristal,23 cm,Pack x6,Transparente,Plástico,Fiestas,$2.600,
TP-CAJ-001,Cajas,Caja Completo Gigante #1 (G1),Estándar,Pack x1,Kraft,Cartón,Comida rápida,$1.400,
TP-CAJ-002,Cajas,Caja Completo Gigante #2,Estándar,Pack x1,Kraft,Cartón,Comida rápida,$1.800,
TP-CAJ-003,Cajas,Caja Completo para 1,Estándar,Pack x25,Kraft,Cartón,Delivery,$1.300,
TP-CAJ-004,Cajas,Caja Completo para 2,Estándar,Pack x25,Kraft,Cartón,Delivery,$1.400,
TP-CAJ-005,Cajas,Caja Completo para 3,Estándar,Pack x25,Kraft,Cartón,Delivery,$1.700,
TP-CAJ-006,Cajas,Caja Completo para 4,Estándar,Pack x25,Kraft,Cartón,Delivery,$2.000,
TP-CAJ-007,Cajas,Caja Completo para 6,Estándar,Pack x25,Kraft,Cartón,Delivery,$2.500,
TP-PAP-001,Caja Papas,Caja de Papas N°1,Estándar,Pack x25,Kraft,Cartón,Papas fritas,$2.400,
TP-PAP-002,Caja Papas,Caja de Papas N°2,Estándar,Pack x25,Kraft,Cartón,Papas fritas,$2.750,
TP-PAP-003,Caja Papas,Caja de Papas N°3,Estándar,Pack x25,Kraft,Cartón,Papas fritas,$3.600,
TP-SAL-001,Cajas,Caja Salchipapas,Estándar,Pack x25,Kraft,Cartón,Comida rápida,$1.200,
TP-POL-025,Cajas,Caja de Pollo,Estándar,Pack x10,Kraft,Cartón,Pollos / Delivery,$1.980,
TP-POL-026,Cajas,Caja de Pollo,Alternativa,Pack x10,Kraft,Cartón,Pollos / Delivery,$1.980,
TP-CAJ-008,Cajas,Caja Cartón Normal,Estándar,Pack x100,Kraft,Cartón,Uso general,$2.300,
TP-CAJ-009,Cajas,Caja Cartón Gigante,Estándar,Pack x100,Kraft,Cartón,Uso general,$3.000,
TP-CON-001,Contenedores,C5 Contenedor,250 cc,Pack x20,Transparente,Plástico,Salsas / Postres,$1.400,
TP-CON-002,Contenedores,C10-1 Contenedor,Estándar,Pack x20,Transparente,Plástico,Alimentos,$1.500,
TP-CON-003,Contenedores,C100 Contenedor Cúpula,Estándar,Pack x20,Transparente,PET,Postres / Pastelería,$2.400,
TP-CON-004,Contenedores,C10 XL Contenedor,XL,Pack x20,Transparente,Plástico,Comida grande,$2.200,
TP-CON-005,Contenedores,C15 Contenedor,570 cc,Pack x20,Transparente,Plástico,Delivery,$2.650,
TP-CON-006,Contenedores,C17 Sin Tapa Contenedor,Estándar,Pack x1,Transparente,Plástico,Alimentos,$990,
TP-CON-007,Contenedores,C18 Bajo Contenedor,Estándar,Pack x20,Transparente,Plástico,Delivery,$2.300,
TP-CON-008,Contenedores,C18 Alto Contenedor,Estándar,Pack x20,Transparente,Plástico,Delivery,$2.600,
TP-CON-009,Contenedores,C18 Bajo Contenedor Cúpula,Estándar,Pack x1,Transparente,PET,Postres,$3.200,
TP-CON-010,Contenedores,C20 Contenedor,940 cc,Pack x20,Transparente,Plástico,Delivery,$2.700,
TP-CON-011,Contenedores,C30 Contenedor Cúpula,Estándar,Pack x10,Transparente,PET,Pastelería,$3.000,
TP-CON-012,Contenedores,C40 Contenedor Cúpula,Estándar,Pack x1,Transparente,PET,Pastelería,$570,
TP-CON-013,Contenedores,Contenedor R5,700 cc,Unidad,Transparente,Plástico,Delivery,$150,
TP-CON-014,Contenedores,Contenedor R10,1100 cc,Unidad,Transparente,Plástico,Delivery,$220,
TP-CON-015,Contenedores,R3 Cúpula,Estándar,Pack x10,Transparente,PET,Postres,$300,
TP-CUB-007,Cubiertos,Cuchara Té o Café Madera,Estándar,Pack estándar,Madera,Madera,Cafetería,$750,
TP-CUB-008,Cubiertos,Cuchara Té o Café Plástica,Estándar,Pack estándar,Blanco,Plástico,Cafetería,$1.200,
TP-CUB-009,Cubiertos,Cuchara de Madera,Estándar,Pack x100,Madera,Madera,Delivery,$1.800,
TP-CUB-010,Cubiertos,Cuchara Plástica,Estándar,Pack x100,Blanco,Plástico,Delivery,$1.350,
TP-CUB-011,Cubiertos,Cucharitas Colores,Estándar,Pack x50,Colores,Plástico,Fiestas,$600,
TP-CUB-012,Cubiertos,Cuchillo de Madera,Estándar,Pack x100,Madera,Madera,Delivery,$2.300,
TP-CUB-013,Cubiertos,Cuchillo Plástico,Estándar,Pack x100,Blanco,Plástico,Delivery,$1.200,
TP-CUB-014,Cubiertos,Tenedor de Madera,Estándar,Pack x100,Madera,Madera,Delivery,$1.800,
TP-CUB-015,Cubiertos,Tenedor Plástico,Estándar,Pack x100,Blanco,Plástico,Delivery,$1.200,
TP-CUB-016,Cubiertos,Revolvedor de Madera,14 cm,Pack estándar,Madera,Madera,Cafetería,$700,
TP-CUB-017,Cubiertos,Cuchara Larga,Estándar,Pack x25,Blanco,Plástico,Postres,$990,
TP-CUB-018,Cubiertos,Set Cubiertos Madera,Estándar,Pack x10,Madera,Madera,Delivery premium,$1.200,
TP-POT-001,Potes,40BF,240 cc,Pack x25,Transparente,Plástico,Postres / Salsas,$1.500,
TP-POT-002,Potes,40B Humo,240 cc,Pack x25,Humo,Plástico,Postres / Salsas,$1.640,
TP-POT-003,Potes,4012FL,360 cc,Pack x25,Transparente,Plástico,Postres,$1.650,
TP-POT-004,Potes,4012 Humo,360 cc,Pack x25,Humo,Plástico,Postres,$1.720,
TP-POT-005,Potes,5016,500 cc,Pack x25,Transparente,Plástico,Postres,$1.990,
TP-POT-006,Potes,4016 Humo,480 cc,Pack x25,Humo,Plástico,Postres,$2.120,
TP-FES-001,Fiestas,Escarcha 161,Estándar,Pack x100,Colores,Decoración,Fiestas,$7.700,
TP-BIS-001,Bisagras,Bisagra Cristal,240 cc,Pack x10,Transparente,PET,Postres,$1.600,
TP-BIS-002,Bisagras,Bisagra Multiuso,Estándar,Pack x25,Transparente,PET,Multiuso,$2.000,
TP-BIS-003,Bisagras,Bisagra Cristal,1000 cc,Unidad,Transparente,PET,Delivery,$3.200,
TP-POT-007,Potes,Pote Cristal c/tapa,500 cc,Unidad,Transparente,PET,Postres,$2.100,
TP-BIS-004,Bisagras,Bisagra Multiuso,180 cc,Pack x2,Transparente,PET,Multiuso,$2.500,
TP-BIS-005,Bisagras,Bisagra Multiuso,Estándar,Pack x25,Transparente,PET,Multiuso,$2.000,
TP-BIS-006,Bisagras,Bisagra 32 onzas,1000 cc,Unidad,Transparente,PET,Delivery,$2.500,
TP-POT-008,Potes,Pote Avión c/t,180 cc,Pack x50,Transparente,PET,Postres,$3.500,
TP-POT-009,Potes,Pote Gelatinero c/t,Estándar,Pack x50,Transparente,PET,Gelatinas,$2.600,
TP-POT-010,Potes,Pote Facetado,180 cc / 6 oz,Unidad,Transparente,PET,Postres,$2.400,
TP-POT-011,Potes,Pote Facetado,240 cc,Unidad,Transparente,PET,Postres,$2.400,
TP-POT-012,Potes,Pote 12 c/tapa,360 cc,Pack x10,Transparente,PET,Delivery,$3.300,
TP-POT-013,Potes,Pote c/t 16 onzas,480 cc,Unidad,Transparente,PET,Delivery,$1.300,
TP-POT-014,Potes,Pote c/t 24 onzas,720 cc,Unidad,Transparente,PET,Delivery,$1.450,
TP-POT-015,Potes,Pote 32 onzas c/t,960 cc,Unidad,Transparente,PET,Delivery,$1.600,
TP-POT-016,Potes,Pote c/tapa,60 cc,Pack x10,Transparente,PET,Salsas,$750,
TP-POT-017,Potes,Pote c/tapa,8 onzas,Pack x10,Transparente,PET,Salsas / Postres,$770,
TP-POT-018,Potes,Pote c/tapa,180 cc,Pack x10,Transparente,PET,Postres,$850,
TP-POT-019,Potes,Pote Copa,240 cc,Pack x50,Transparente,PET,Postres / Eventos,$3.500,
TP-SER-001,Servilletas,Servilleta Hoja Plus,100 un,Pack x100,Blanco,Papel,Comedor / Delivery,$1.350,
TP-SER-002,Servilletas,Servilleta Dispensador,x50,Pack x50,Blanco,Papel,Comedor / Cafetería,$1.500,
TP-SER-003,Servilletas,Servilleta,24x24,Pack x300,Blanco,Papel,Comedor,$1.200,
TP-SER-004,Servilletas,Servilleta,33x33,Pack x100,Blanco,Papel,Eventos,$2.000,
TP-SER-005,Servilletas,Servilletas,33x33,Pack x300,Blanco,Papel,Eventos,$2.990,
TP-KRA-010,Bolsas Kraft,Kraft Manilla,16x8x21,Pack x10,Kraft,Cartón,Tiendas,$1.650,
TP-KRA-011,Bolsas Kraft,Kraft Manilla,30x12x42,Unidad,Kraft,Cartón,Tiendas,$230,
TP-KRA-012,Bolsas Kraft,Kraft Manilla,44x17x39,Unidad,Kraft,Cartón,Tiendas,$260,
TP-KRA-013,Bolsas Kraft,Bolsa Kraft Manilla,42x17x4,Unidad,Kraft,Cartón,Tiendas,$300,
TP-BOM-001,Bombillas,Bombilla 6mm Plástica,Estándar,Pack,Colores,Plástico,Bebidas,$1.100,
TP-BOM-002,Bombillas,Bombilla 6mm Papel Bicolor,Estándar,Pack,Bicolor,Papel,Bebidas,$1.500,
TP-BOM-003,Bombillas,Bombilla 8mm Plástica,Estándar,Unidad,Colores,Plástico,Bebidas,$1.200,
TP-BOM-004,Bombillas,Bombilla 10mm Plástica,Estándar,Pack x5,Colores,Plástico,Bebidas,$900,
TP-BOM-005,Bombillas,Bombillas c/Envoltorio,Estándar,Pack x10,Blanco,Plástico,Delivery,$1.850,
TP-BOM-006,Bombillas,Bombilla 8mm Negra Papel,Estándar,Pack,Negro,Papel,Bebidas,$2.300,
